"JOUF                ","SAUDIA ARABIA       ","19:59   ","+03:00:00","NORTH","29.48 ","EAST","40.4  ","+1","       48"
"AGADES              ","NIGER               ","28:0    ","+01:00:00","NORTH","16.58 ","EAST","7.60  ","+1","       49"
"KUFRAH              ","LIBYA               ","28:0    ","+02:00:00","NORTH","24.12 ","EAST","23.0  ","+1","       50"
"AUCKLAND            ","NEW ZEALAND         ","20:48   ","+12:00:00","SOUTH","37.1  ","EAST","174.48","+1","       51"
"KING SALMON         ","ALASKA              ","86:36   ","-09:00:00","NORTH","58.41 ","WEST","156.39","-1","       52"
"AKURE               ","NIGERIA             ","38:48   ","+01:00:00","NORTH","7.16  ","EAST","5.18  ","+1","       53"
"ALICANTE            ","SPAIN               ","57:44   ","+01:00:00","NORTH","38.17 ","WEST","0.34  ","+1","       54"
"ALGIERS             ","ALGERIA             ","47:8    ","+01:00:00","NORTH","36.42 ","EAST","3.13  ","+1","       55"
"WATERLOO            ","IOWA                ","8:1     ","-06:00:00","NORTH","42.33 ","WEST","92.4  ","-1","       56"
"ALEPPO              ","SYRIA               ","28:1    ","+02:00:00","NORTH","36.11 ","EAST","37.4  ","-1","       57"
"ALAMOSA             ","COLORADO            ","3:28    ","-07:00:00","NORTH","37.26 ","WEST","105.52","-1","       58"
"WALLA WALLA         ","WA                  ","6:52    ","-08:00:00","NORTH","46.6  ","WEST","118.17","+1","       59"
"AMARILLO            ","TEXAS               ","46:52   ","-06:00:00","NORTH","35.14 ","WEST","101.43","-1","       60"
"AHMEDABAD           ","INDIA               ","41:58   ","+05:30:00","NORTH","23.4  ","EAST","72.7  ","+1","       61"
"AMBOIN              ","PAPUA GUINEA        ","26:0    ","+10:00:00","SOUTH","4.36  ","EAST","143.30","+1","       62"
"ALMA                ","MICHIGAN            ","36:0    ","-05:00:00","NORTH","43.19 ","WEST","84.1  ","-1","       63"
"AMSTERDAM           ","NETHERLAND          ","40:56   ","+01:00:00","NORTH","52.19 ","EAST","4.46  ","+1","       64"
"ANNISTON            ","ALABAMA             ","20:0    ","-06:00:00","NORTH","33.35 ","WEST","85.1  ","+1","       65"
"ANCHORAGE           ","ALASKA              ","59:56   ","-09:00:00","NORTH","61.10 ","WEST","149.59","-1","       66"
"ANGERS              ","FRANCE              ","57:44   ","+01:00:00","NORTH","47.30 ","WEST","0.34  ","+1","       67"
"ANTOFAGASTA         ","CHILE               ","40:2    ","-04:00:00","SOUTH","23.26 ","WEST","70.7  ","-1","       68"
"ANNETTE ISLAND      ","AK                  ","13:44   ","-09:00:00","NORTH","55.2  ","WEST","131.34","+1","       69"
"ANTIGUA             ","AG                  ","4:2     ","-04:00:00","NORTH","17.8  ","WEST","61.7  ","-1","       70"
"LIMA                ","OHIO                ","36:0    ","-05:00:00","NORTH","40.43 ","WEST","84.2  ","-1","       71"
"ANCONA              ","ITALY               ","8:0     ","+01:00:00","NORTH","43.37 ","EAST","13.2  ","+1","       72"
"PASO LIBRES         ","ARGENTINA           ","48:3    ","-03:00:00","SOUTH","29.41 ","WEST","57.9  ","-1","       73"
"ALTOONA             ","PA                  ","12:3    ","-05:00:00","NORTH","40.18 ","WEST","78.9  ","-1","       74"
"DENVER              ","COLORADO            ","0:36    ","-07:00:00","NORTH","39.34 ","WEST","104.51","+1","       75"
"NAPA                ","CALIFORNIA          ","9:8     ","-08:00:00","NORTH","38.13 ","WEST","122.17","-1","       76"
"NAPLES              ","FLORIDA             ","24:2    ","-05:00:00","NORTH","26.9  ","WEST","81.7  ","-1","       77"
"NAMPULA             ","MOZAMBIQUE          ","36:2    ","+02:00:00","SOUTH","15.6  ","EAST","39.7  ","-1","       78"
"ALPENA              ","MICHIGAN            ","32:1    ","-05:00:00","NORTH","45.5  ","WEST","83.3  ","-1","       79"
"APPLE VALLEY        ","CA                  ","11:8    ","-08:00:00","NORTH","34.32 ","WEST","117.13","+1","       80"
"QAISUMAH            ","SAUDIA ARABIA       ","4:3     ","+03:00:00","NORTH","28.20 ","EAST","46.8  ","-1","       81"
"AQABA               ","JORDAN              ","20:0    ","+02:00:00","NORTH","29.37 ","EAST","35.1  ","-1","       82"
"AREQUIPA            ","PERU                ","15:59   ","-05:00:00","SOUTH","16.20 ","WEST","71.3  ","+1","       83"
"NEW IBERIA,         ","LA,                 ","4:1     ","-06:00:00","NORTH","30.2  ","WEST","91.3  ","-1","       84"
"WALNUT RIDGE        ","AR                  ","0:2     ","-06:00:00","NORTH","36.8  ","WEST","90.6  ","-1","       85"
"ARICA               ","CHILE               ","40:0    ","-04:00:00","SOUTH","18.20 ","WEST","70.0  ","-1","       86"
"STOCKHOLM           ","SWEDEN              ","8:2     ","+01:00:00","NORTH","59.40 ","EAST","17.6  ","-1","       87"
"WATERTOWN           ","NEW YORK            ","4:0     ","-05:00:00","NORTH","43.59 ","WEST","76.1  ","-1","       88"
"ARACATUBA           ","BRAZIL              ","20:2    ","-03:00:00","SOUTH","21.9  ","WEST","50.6  ","-1","       89"
"MINOCQUA            ","WISCONSIN           ","3:59    ","-06:00:00","NORTH","45.55 ","WEST","89.4  ","+1","       90"
"ARAD                ","ROMANIA             ","35:58   ","+02:00:00","NORTH","46.11 ","EAST","21.6  ","+1","       91"
"ASPEN               ","COLORADO            ","7:28    ","-07:00:00","NORTH","39.13 ","WEST","106.52","-1","       92"
"NASHUA,             ","NH, USA             ","16:0    ","-05:00:00","NORTH","42.47 ","WEST","71.1  ","+1","       93"
"GEORGETOWN          ","SH                  ","56:1    "," 00:00:00","SOUTH","7.58  ","WEST","14.4  ","-1","       94"
"YAMOUSSOUKRO,       ","COTE D              ","21:28   "," 00:00:00","NORTH","6.54  ","WEST","5.22  ","-1","       95"
"MARSHALL            ","TEXAS               ","16:3    ","-06:00:00","NORTH","32.31 ","WEST","94.8  ","-1","       96"
"ASMARA              ","ETHIOPIA            ","27:58   ","+03:00:00","NORTH","15.17 ","EAST","38.5  ","+1","       97"
"TALLADEGA           ","ALABAMA             ","15:59   ","-06:00:00","NORTH","33.34 ","WEST","86.3  ","+1","       98"
"ALICE SPRINGS       ","AUSTR               ","54:28   ","+09:50:00","SOUTH","23.48 ","EAST","133.53","+1","       99"
"KAYSERI             ","TURKEY              ","40:0    ","+03:00:00","NORTH","38.42 ","EAST","35.1  ","+1","      100"
"ASTORIA/SEASIDE     ","OR                  ","15:32   ","-08:00:00","NORTH","46.10 ","WEST","123.53","-1","      101"
"ASUNCION            ","PARAGUAY            ","12:0    ","-04:00:00","SOUTH","25.14 ","WEST","57.1  ","+1","      102"
"ASWAN               ","EGYPT               ","8:3     ","+02:00:00","NORTH","23.58 ","EAST","32.9  ","-1","      103"
"ASHLAND             ","WISCONSIN           ","0:2     ","-06:00:00","NORTH","46.33 ","WEST","90.5  ","-1","      104"
"ATLANTA             ","GEORGIA             ","36:2    ","-05:00:00","NORTH","33.38 ","WEST","84.6  ","-1","      105"
"ALTAMIRA            ","BRAZIL              ","28:1    ","-03:00:00","SOUTH","3.12  ","WEST","52.3  ","-1","      106"
